oppo,oppo_label,category,drill_dim
pat_manage,Disease Management,Diabetes,Service
pat_manage,Disease Management,Chronic Kidney Disease ,Service
pat_manage,Disease Management,Depression ,Service
pat_manage,Disease Management,Heart Failure ,Service
pat_manage,Disease Management,COPD,Service
pat_manage,Disease Management,Stroke,Service
pat_manage,Disease Management,Hypertension,Service
pat_manage,Disease Management,Hyperlipidemia,Service
pat_manage,Disease Management,Arthritis,Service
pat_manage,Disease Management,Ischemic Heart Disease,Service
pat_manage,Disease Management,Atrial Fibrillation,Service
pat_manage,Disease Management,Cancer,Service
pat_manage,Disease Management,Osteoporosis,Service
pat_manage,Disease Management,Asthma,Service
pat_manage,Disease Management,Drug Abuse/Substance Abuse,Service
pat_manage,Disease Management,Alzheimer's Disease/Dementia,Service
overuse_reduction,Overuse Reduction,IP Short Stay,DRG
overuse_reduction,Overuse Reduction,ER,Diagnosis
overuse_reduction,Overuse Reduction,High Cost Imaging,Procedure
overuse_reduction,Overuse Reduction,Surgical Procedures,Procedure
overuse_reduction,Overuse Reduction,DMEPOS,Procedure
overuse_reduction,Overuse Reduction,Specialist Visit,Procedure
overuse_reduction,Overuse Reduction,Other Diagnostic Testing,Procedure
overuse_reduction,Overuse Reduction,Antibiotics,Diagnosis
readmission_reduction,Readmission Reduction,Acute Myocardial Infarction,Readmitting DRG
readmission_reduction,Readmission Reduction,Stroke,Readmitting DRG
readmission_reduction,Readmission Reduction,Heart Failure,Readmitting DRG
readmission_reduction,Readmission Reduction,Pneumonia,Readmitting DRG
readmission_reduction,Readmission Reduction,Coronary Artery Bypass Graft,Readmitting DRG
service_optimize,Service Optimization,ASC Surgery Use Rate,Procedure
service_optimize,Service Optimization,Biosimilar Dispensing Rate,Drug
service_optimize,Service Optimization,Urgent Care Center Use Rate,Diagnosis
pac_optimize,Post Acute Care Optimization,Hip Replacement,Discharge Disposition
pac_optimize,Post Acute Care Optimization,Spinal Fusion,Discharge Disposition
pac_optimize,Post Acute Care Optimization,Acute Myocardial Infarction,Discharge Disposition
pac_optimize,Post Acute Care Optimization,Stroke,Discharge Disposition
pac_optimize,Post Acute Care Optimization,Coronary Artery Bypass Graft,Discharge Disposition