Patient Cohort,Provider Group,Benchmark*,Cost Reduction if Perform as Benchmark(PMPM),Best-in-Class*,Cost Reduction if Perform as Best-in-Class(PMPM),alias,oppo
Diabetes,2030.180556,1998.583683,31.59687223,1962.110725,68.06983071,Diabetes,pat_manage
Chronic Kidney Disease ,1470.802023,1448.3572,22.44482335,1422.20491,48.59711374,Chronic Kidney Disease ,pat_manage
Depression ,1838.31442,1817.562,20.75241981,1793.52522,44.78919952,Depression ,pat_manage
Heart Failure ,2597.572557,2578.3499,19.22265717,2556.350117,41.22244019,Heart Failure ,pat_manage
COPD,2287.417995,2271.283408,16.13458675,2252.667516,34.75047866,COPD,pat_manage
Stroke,2891.530017,2885.549025,5.980991916,2878.695335,12.83468162,Stroke,pat_manage
IP Short Stay,74.80483108,68.00439189,15.096975,61.2039527,27.75519481,IP Short Stay,overuse_reduction
High Cost Imaging,242.4675,220.425,9.371541667,198.3825,22.0425,High Cost Imaging,overuse_reduction
ER,18.53478,16.8498,2.70298875,15.16482,4.914525,ER,overuse_reduction
Surgical Procedures,41.34920327,37.59018479,2.695266619,33.83116631,3.759018479,Surgical Procedures,overuse_reduction
Heart Failure,0.332425984,0.30220544,6.044108808,0.274732219,11.53875318,Heart Failure,readmission_reduction
Coronary Artery Bypass Graft,0.243655838,0.221505307,4.430106138,0.201368461,8.457475353,Coronary Artery Bypass Graft,readmission_reduction
Pneumonia,0.218211985,0.198374532,3.967490636,0.180340483,7.574300305,Pneumonia,readmission_reduction
Acute Myocardial Infarction,0.198358985,0.18032635,3.606526996,0.163933045,6.885187901,Acute Myocardial Infarction,readmission_reduction
Stroke,0.135046154,0.122769231,2.455384615,0.111608392,4.687552448,Stroke,readmission_reduction
ASC Surgery Use Rate,0.238894273,0.266981291,12.63915808,0.296645878,25.9882226,Move Surgeries to ASC,service_optimize
Urgent Care Center Use Rate,0.380138177,0.422375752,4.054807222,0.469306391,8.560148581,Use Urgent Care Centers to Replace ER,service_optimize
Biosimilar Dispensing Rate,0.2628,0.292,2.336,0.324444444,4.931555556,Increase Biosimilar Dispensing Rate,service_optimize
Hip Replacement,0.6216,0.56,3.696,0.504504505,7.02572973,Hip Replacement,pac_optimize
Stroke,0.59274,0.534,3.5244,0.481081081,6.699535135,Stroke,pac_optimize
Acute Myocardial Infarction,0.567144288,0.5109408,3.37220928,0.460307027,6.410235658,Acute Myocardial Infarction,pac_optimize
Coronary Artery Bypass Graft,0.47262024,0.425784,2.8101744,0.383589189,5.341863049,Coronary Artery Bypass Graft,pac_optimize
Spinal Fusion,0.34854,0.314,2.0724,0.282882883,3.939427027,Spinal Fusion,pac_optimize