Domain,Measure,YTD Level,Annualized Level ,Target(Risk Adj) ,Performance Diff from Target
Cost & Utilization Reduction,All Causes Average Cost per Patient,NA,NA,NA,NA
Cost & Utilization Reduction,CHF Related Average Cost per Patient,"$12,952 ","$28,494 ","$28,232 ",-0.01
Cost & Utilization Reduction,All Causes Average IP Cost per Patient,NA,NA,NA,NA
Cost & Utilization Reduction,CHF Related Average IP Cost per Patient,NA,NA,NA,NA
Cost & Utilization Reduction,All Causes Hospitalization Rate,NA,NA,NA,NA
Cost & Utilization Reduction,CHF Related Hospitalization Rate,20%,45%,42%,-0.03
Cost & Utilization Reduction,All Causes ER Rate,NA,NA,NA,NA
Cost & Utilization Reduction,CHF Related ER Rate,NA,NA,NA,NA
Improving Disease Outcome,NT-proBNP Improvement %,-25%,-30%,-28%,0.02
Improving Disease Outcome,LVEF Improvement %,3.50%,4.00%,3.00%,0.01
Improving Disease Outcome,LAVi Improvement %,-5.00%,-7.00%,-6.00%,0.01
Improving Disease Outcome,LVEDVi Improvement %,-8.00%,-12.00%,-10.00%,0.02
Improving Disease Outcome,LVESVi and E/e’ Improvement %,-12.00%,-15.00%,-12.00%,0.03
Improving Disease Outcome,Change in Self-Care Score,-2.20%,-3.00%,-2.50%,0.005
Improving Disease Outcome,Change in Mobility Score ,NA,NA,NA,NA
Improving Disease Outcome,CV Mortality Rate,5%,15%,15%,0
Increasing Patient Safety,Emergent care rate for medication side effect,NA,NA,NA,NA
Increasing Patient Safety,Hospitalization rate for medication side effect,NA,NA,NA,NA
Enhancing Care Quality,DOT,NA,NA,NA,NA
Enhancing Care Quality,PDC,NA,NA,NA,NA
Enhancing Care Quality,MPR,NA,NA,NA,NA
Better Patient Experience,Patient Reported SOB changes,NA,NA,NA,NA
Better Patient Experience,Patient Reported Fatigue and Tiredness Changes,NA,NA,NA,NA
Better Patient Experience,Patient Reported Peripheral Oedema Changes,NA,NA,NA,NA